product_name,new_price,product_rating,Processor_OR_Generation,RAM(GB),Operating_System,SSD(GB),Display(cm),rating_without_dis
HP OMEN Intel Core i7 13th Gen 13700HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce ...,Very Expensive,Excellent,Intel Core i7 Processor (13th Gen),16.0,Windows 11 Operating System,1000.0,40.64,4.1
HP Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) 15s- fq3066TU Thin and Light Lapt...,very low,Good,Intel Celeron Dual Core Processor,8.0,Windows 11 Operating System,512.0,39.62,3.8
Lenovo Ideapad Gaming 3 Intel Intel Core i5 11th Gen 11320H - (16 GB/512 GB SSD/Windows 11 Home/4 GB G...,low,Excellent,Intel Core i5 Processor (11th Gen),16.0,Windows 11 Operating System,512.0,100.63,4.3
Lenovo Yoga Slim 7 Carbon Intel Evo Intel Core i7 12th Gen 1260P - (16 GB/1 TB SSD/Windows 11 Home) 13...,Moderate,Excellent,Intel Core i7 Processor (12th Gen),16.0,Windows 11 Operating System,1000.0,33.78,4.6
Lenovo Yoga Slim 6 Intel Core i5 12th Gen 1240P - (16 GB/512 GB SSD/Windows 11 Home) 14IAP8 Thin and L...,low,Excellent,Intel Core i5 Processor (12th Gen),16.0,Windows 11 Operating System,512.0,35.56,4.2
ASUS AMD Ryzen 5 10th Gen 7520U - (16 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ541WS Notebook,low,Meduim,AMD Ryzen 5 Processor (10th Gen),16.0,Windows 11 Operating System,512.0,39.62,2.2
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 Thin and...,low,Excellent,AMD Ryzen 5 Hexa Core Processor,16.0,Windows 11 Operating System,512.0,39.62,4.2
DELL XPS 13 Intel Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home) XPS 13 9320 Thin and Light Lapto...,Very Expensive,Excellent,Intel Core i7 Processor (12th Gen),16.0,64 bit Windows 11 Operating System,1000.0,34.04,4.8
SAMSUNG Galaxy Book4 Pro Evo Intel Core Ultra 5 125H - (16 GB/512 GB SSD/Windows 11 Home) NP960XGK-KG1...,Expensive,Good,Intel Core Ultra 5 Processor,16.0,64 bit Windows 11 Operating System,512.0,40.64,3.1
Lenovo MediaTek MediaTek P60T - (4 GB/128 GB HDD/128 GB SSD/128 GB EMMC Storage/Chrome OS) ZA6F0108IN ...,very low,Good,MediaTek MediaTek P60T Processor,4.0,Chrome Operating System,128.0,25.65,3.8
Ultimus Pro Lite Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) NU14U4INC54BN-CS Thin and...,very low,Good,Intel Celeron Dual Core Processor,8.0,Windows 11 Operating System,256.0,35.81,3.2
ASUS Vivobook 14 Intel Core i3 11th Gen 1115G4 - (16 GB/512 GB SSD/Windows 11 Home) X415EA-EK344WS Thi...,very low,Excellent,Intel Core i3 Processor (11th Gen),16.0,Windows 11 Operating System,512.0,35.56,4.3
